id_arrete,id_zone,nom_zone,code_zone,code_departement,nom_departement,numero_arrete,numero_arrete_cadre,date_signature,debut_validite_arrete,fin_validite_arrete,nom_niveau,statut_arrete
34016,11621,nappe du Ried centre Alsace - secteur 4 (Sud Est) - partie dpt 67,44_67_08,67,Bas-Rhin,AP202309123abrogationS4,ACI Bas-Rhin Haut-Rhin,2023-09-13,2023-09-13,,Alerte,Publié
34264,10945,bassin de la Truyère,76_48_0001,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10946,bassin de la Colagne,76_48_0002,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10947,cours d'eau Colagne,76_48_0003,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10948,bassin du Lot,76_48_0004,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10949,bassin du Bramont,76_48_0005,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10957,bassin du Chassezac,76_48_0013,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10958,bassin de la Cèze,76_48_0014,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10959,bassin des Gardons,76_48_0015,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10960,bassin de l'Hérault,76_48_0016,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Vigilance,Terminé
34514,12084,Bassin versant de l'Agout,76_34_0012,34,Hérault,DDTM34-2023-10-14288,ACI_BV_TARN_2023,2023-10-31,2023-10-31,,Alerte renforcée,Publié
34514,12089,Bassin versant du Thoré amont,76_34_0019,34,Hérault,DDTM34-2023-10-14288,ACI_BV_TARN_2023,2023-10-31,2023-10-31,,Alerte renforcée,Publié
34647,9371,Dombes – Certines – Nord,84_01_4,01,Ain,2023-11-01,Ain - AC 20230612 - V2,2023-12-06,2023-12-06,2024-03-31,Alerte renforcée,Publié
34647,9372,Dombes – Sud,84_01_5,01,Ain,2023-11-01,Ain - AC 20230612 - V2,2023-12-06,2023-12-06,2024-03-31,Alerte renforcée,Publié
34653,11452,Vistre,76_30_000010,30,Gard,30-2023-12-20-00001,30-2023-05-24-00001v2,2023-12-20,2023-12-20,2024-03-31,Vigilance,Publié
34653,11463,Vistre (sout),76_30_000010,30,Gard,30-2023-12-20-00001,30-2023-05-24-00001v2,2023-12-20,2023-12-20,2024-03-31,Vigilance,Publié
34656,12145,Secteur Aude amont (hors axe réalimenté),76_11_0001,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Vigilance,Publié
34656,12146,Bassin versant de l'Agly,76_11_0002,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Crise,Publié
34656,12149,"Secteur Aude aval, Berre et Rieu",76_11_0005,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Crise,Publié
34656,12150,Secteur Argent-Double et affluents rive gauche de l’Aude sur ce secteur,76_11_0006,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Vigilance,Publié
34656,12151,Secteur Orbieu et affluents rive droite de l’Aude sur ce secteur,76_11_0007,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Crise,Publié
34656,12152,Secteur Orbiel et affluents rive gauche de l’Aude sur ce secteur,76_11_0009,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Vigilance,Publié
34656,12153,Secteur Cesse et affluents rive gauche de l’Aude sur ce secteur,76_11_0010,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Vigilance,Publié
34656,12154,Axe réalimenté Aude amont,76_11_0011,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Vigilance,Publié
34656,12155,"Axe réalimenté Aude médiane et aval et canal du Midi, y compris ses annexes (canal de Jonction, canal de la Robine)",76_11_0012,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Vigilance,Publié
34656,12156,Bassin versant du Fresquel,76_11_0013,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Vigilance,Publié
34656,12159,Système Orb,76_11_0017,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Alerte renforcée,Publié
34656,12162,Nappe Astienne,76_11_0020,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Crise,Publié
34656,12163,Nappes Plioquaternaires du Roussilon,76_11_0021,11,Aude,Aude_DDTM_SAFEB_2024_002,Aude DDTM-SEMA-2023-0116_02,2024-01-29,2024-01-29,2024-02-29,Crise,Publié
34657,12074,Bassin versant de la lagune de l'étang de l'Or,76_34_0002,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte,Publié
34657,12075,Bassin versant du Lez et de la Mosson hors axe Lez soutenu,76_34_0003,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12077,Bassin versant de l'Hérault amont de la confluence avec la Vis jusqu’à la confluence avec la Lergue,76_34_0005,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte,Publié
34657,12078,Bassin versant de la Lergue,76_34_0006,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte,Publié
34657,12079,Bassin versant de l’Hérault aval de la confluence avec la Lergue jusqu’à l’embouchure,76_34_0007,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12080,Bassin versant de l'Orb de la Source jusqu’à l’amont de la confluence avec le Jaur hors axe Orb soutenu,76_34_0008,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12081,Axe Orb soutenu à l'aval du barrage des Monts d'Orb,76_34_0009,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12082,Bassin versant du Jaur,76_34_0010,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12083,Bassin versant de l'Orb à l’aval de la confluence avec le Jaur jusqu’à l’embouchure hors axe Orb soutenu,76_34_0011,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Crise,Publié
34657,12085,Bassin versant de l’Aude aval – Berre et Rieu,76_34_0013,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Crise,Publié
34657,12086,Bassin versant de l’Argent double et de l’Ognon,76_34_0015,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12087,Bassin versant de la Cesse,76_34_0016,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12088,Canal du Midi,76_34_0018,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Vigilance,Publié
34657,12090,Nappe des sables de l'Astien,76_34_0014,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Alerte renforcée,Publié
34657,12091,Molasses miocènes du bassin de Castries,76_34_0017,34,Hérault,DDTM34-2024-01-14509,Hérault_DDTM34-2023-05-13902,2024-02-01,2024-02-01,2024-03-31,Vigilance,Publié
34660,12060,"Agly amont, Boulzane et Verdou",76_66_1,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12061,Agly aval,76_66_2,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12062,Aude amont,76_66_3,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12063,Sègre - Carol,76_66_4,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Alerte,Publié
34660,12064,Tech - Albères,76_66_5,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Alerte renforcée,Publié
34660,12065,Têt amont,76_66_6,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12066,Têt aval,76_66_7,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12067,Nappes côte nord,76_66_1,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Alerte renforcée,Publié
34660,12068,Nappes côte sud,76_66_2,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12069,Nappes Agly-Salanque,76_66_3,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12070,Nappes Aspres-Réart,76_66_4,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
34660,12071,Nappes Tech,76_66_5,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Alerte renforcée,Publié
34660,12072,Nappes Têt,76_66_6,66,Pyrénées-Orientales,DDTM/SER/2024030-0003,DDTM/SER/2018150-0002,2024-01-30,2024-01-30,2024-04-05,Crise,Publié
